year,province_name_en,sex,age_group,population
1993,Seoul,male,0-4,416438
1993,Seoul,male,5-9,370853
1993,Seoul,male,10-14,505414
1993,Seoul,male,15-19,488423
1993,Seoul,male,20-24,589929
1993,Seoul,male,25-29,616390
1993,Seoul,male,30-34,585673
1993,Seoul,male,35-39,491203
1993,Seoul,male,40-44,365213
1993,Seoul,male,45-49,316743
1993,Seoul,male,50-54,284426
1993,Seoul,male,55-59,188388
1993,Seoul,male,60-64,106631
1993,Seoul,male,65-69,64392
1993,Seoul,male,70-74,47155
1993,Seoul,male,75-79,23429
1993,Seoul,male,80-84,12569
1993,Seoul,male,85+,4576
1993,Seoul,female,0-4,374546
1993,Seoul,female,5-9,336970
1993,Seoul,female,10-14,462336
1993,Seoul,female,15-19,447242
1993,Seoul,female,20-24,605084
1993,Seoul,female,25-29,570215
1993,Seoul,female,30-34,546085
1993,Seoul,female,35-39,499766
1993,Seoul,female,40-44,371592
1993,Seoul,female,45-49,314353
1993,Seoul,female,50-54,265352
1993,Seoul,female,55-59,190921
1993,Seoul,female,60-64,135036
1993,Seoul,female,65-69,103187
1993,Seoul,female,70-74,81471
1993,Seoul,female,75-79,55575
1993,Seoul,female,80-84,32867
1993,Seoul,female,85+,19056
1993,Busan,male,0-4,142059
1993,Busan,male,5-9,138405
1993,Busan,male,10-14,196496
1993,Busan,male,15-19,184871
1993,Busan,male,20-24,206751
1993,Busan,male,25-29,183199
1993,Busan,male,30-34,193427
1993,Busan,male,35-39,180360
1993,Busan,male,40-44,136388
1993,Busan,male,45-49,108555
1993,Busan,male,50-54,99297
1993,Busan,male,55-59,68232
1993,Busan,male,60-64,41039
1993,Busan,male,65-69,25128
1993,Busan,male,70-74,15685
1993,Busan,male,75-79,7137
1993,Busan,male,80-84,3283
1993,Busan,male,85+,1172
1993,Busan,female,0-4,122291
1993,Busan,female,5-9,126047
1993,Busan,female,10-14,183389
1993,Busan,female,15-19,172355
1993,Busan,female,20-24,205218
1993,Busan,female,25-29,179749
1993,Busan,female,30-34,193823
1993,Busan,female,35-39,179082
1993,Busan,female,40-44,133894
1993,Busan,female,45-49,104648
1993,Busan,female,50-54,97867
1993,Busan,female,55-59,73123
1993,Busan,female,60-64,54300
1993,Busan,female,65-69,42143
1993,Busan,female,70-74,29275
1993,Busan,female,75-79,17663
1993,Busan,female,80-84,10452
1993,Busan,female,85+,6003
1993,Daegu,male,0-4,95484
1993,Daegu,male,5-9,89697
1993,Daegu,male,10-14,119339
1993,Daegu,male,15-19,110893
1993,Daegu,male,20-24,124214
1993,Daegu,male,25-29,117749
1993,Daegu,male,30-34,118451
1993,Daegu,male,35-39,100009
1993,Daegu,male,40-44,76972
1993,Daegu,male,45-49,56960
1993,Daegu,male,50-54,54475
1993,Daegu,male,55-59,39777
1993,Daegu,male,60-64,23543
1993,Daegu,male,65-69,15056
1993,Daegu,male,70-74,9295
1993,Daegu,male,75-79,5196
1993,Daegu,male,80-84,2349
1993,Daegu,male,85+,906
1993,Daegu,female,0-4,76086
1993,Daegu,female,5-9,72568
1993,Daegu,female,10-14,108601
1993,Daegu,female,15-19,100563
1993,Daegu,female,20-24,124556
1993,Daegu,female,25-29,114766
1993,Daegu,female,30-34,117557
1993,Daegu,female,35-39,100507
1993,Daegu,female,40-44,78319
1993,Daegu,female,45-49,58771
1993,Daegu,female,50-54,57379
1993,Daegu,female,55-59,44479
1993,Daegu,female,60-64,32310
1993,Daegu,female,65-69,24100
1993,Daegu,female,70-74,18158
1993,Daegu,female,75-79,12105
1993,Daegu,female,80-84,7148
1993,Daegu,female,85+,3828
1993,Incheon,male,0-4,107376
1993,Incheon,male,5-9,91043
1993,Incheon,male,10-14,98876
1993,Incheon,male,15-19,78717
1993,Incheon,male,20-24,96660
1993,Incheon,male,25-29,118839
1993,Incheon,male,30-34,142986
1993,Incheon,male,35-39,109776
1993,Incheon,male,40-44,65835
1993,Incheon,male,45-49,49769
1993,Incheon,male,50-54,40682
1993,Incheon,male,55-59,29475
1993,Incheon,male,60-64,18466
1993,Incheon,male,65-69,12602
1993,Incheon,male,70-74,9775
1993,Incheon,male,75-79,4777
1993,Incheon,male,80-84,2434
1993,Incheon,male,85+,757
1993,Incheon,female,0-4,98437
1993,Incheon,female,5-9,85042
1993,Incheon,female,10-14,93473
1993,Incheon,female,15-19,74932
1993,Incheon,female,20-24,99133
1993,Incheon,female,25-29,123966
1993,Incheon,female,30-34,130958
1993,Incheon,female,35-39,96408
1993,Incheon,female,40-44,56433
1993,Incheon,female,45-49,44808
1993,Incheon,female,50-54,40985
1993,Incheon,female,55-59,34225
1993,Incheon,female,60-64,27184
1993,Incheon,female,65-69,20930
1993,Incheon,female,70-74,15228
1993,Incheon,female,75-79,9342
1993,Incheon,female,80-84,5144
1993,Incheon,female,85+,2953
1993,Gwangju,male,0-4,53924
1993,Gwangju,male,5-9,48249
1993,Gwangju,male,10-14,67500
1993,Gwangju,male,15-19,63674
1993,Gwangju,male,20-24,67096
1993,Gwangju,male,25-29,62938
1993,Gwangju,male,30-34,61627
1993,Gwangju,male,35-39,49259
1993,Gwangju,male,40-44,37021
1993,Gwangju,male,45-49,30940
1993,Gwangju,male,50-54,27072
1993,Gwangju,male,55-59,19226
1993,Gwangju,male,60-64,11973
1993,Gwangju,male,65-69,8270
1993,Gwangju,male,70-74,5400
1993,Gwangju,male,75-79,2933
1993,Gwangju,male,80-84,1410
1993,Gwangju,male,85+,647
1993,Gwangju,female,0-4,48650
1993,Gwangju,female,5-9,45099
1993,Gwangju,female,10-14,62883
1993,Gwangju,female,15-19,59742
1993,Gwangju,female,20-24,68204
1993,Gwangju,female,25-29,61182
1993,Gwangju,female,30-34,59985
1993,Gwangju,female,35-39,50387
1993,Gwangju,female,40-44,37985
1993,Gwangju,female,45-49,31018
1993,Gwangju,female,50-54,27648
1993,Gwangju,female,55-59,21549
1993,Gwangju,female,60-64,16638
1993,Gwangju,female,65-69,12215
1993,Gwangju,female,70-74,10697
1993,Gwangju,female,75-79,7207
1993,Gwangju,female,80-84,4927
1993,Gwangju,female,85+,3495
1993,Daejeon,male,0-4,52622
1993,Daejeon,male,5-9,48978
1993,Daejeon,male,10-14,61090
1993,Daejeon,male,15-19,54530
1993,Daejeon,male,20-24,61344
1993,Daejeon,male,25-29,59939
1993,Daejeon,male,30-34,64022
1993,Daejeon,male,35-39,54735
1993,Daejeon,male,40-44,38309
1993,Daejeon,male,45-49,28969
1993,Daejeon,male,50-54,25605
1993,Daejeon,male,55-59,18579
1993,Daejeon,male,60-64,11458
1993,Daejeon,male,65-69,8066
1993,Daejeon,male,70-74,5696
1993,Daejeon,male,75-79,3116
1993,Daejeon,male,80-84,1557
1993,Daejeon,male,85+,603
1993,Daejeon,female,0-4,45182
1993,Daejeon,female,5-9,43712
1993,Daejeon,female,10-14,56376
1993,Daejeon,female,15-19,51136
1993,Daejeon,female,20-24,61107
1993,Daejeon,female,25-29,59130
1993,Daejeon,female,30-34,62036
1993,Daejeon,female,35-39,53038
1993,Daejeon,female,40-44,35476
1993,Daejeon,female,45-49,27210
1993,Daejeon,female,50-54,25473
1993,Daejeon,female,55-59,20395
1993,Daejeon,female,60-64,15633
1993,Daejeon,female,65-69,11894
1993,Daejeon,female,70-74,9383
1993,Daejeon,female,75-79,6395
1993,Daejeon,female,80-84,3913
1993,Daejeon,female,85+,2332
1993,Gyeonggi-do,male,0-4,351479
1993,Gyeonggi-do,male,5-9,302025
1993,Gyeonggi-do,male,10-14,301705
1993,Gyeonggi-do,male,15-19,246265
1993,Gyeonggi-do,male,20-24,322170
1993,Gyeonggi-do,male,25-29,387237
1993,Gyeonggi-do,male,30-34,457494
1993,Gyeonggi-do,male,35-39,358256
1993,Gyeonggi-do,male,40-44,205807
1993,Gyeonggi-do,male,45-49,154550
1993,Gyeonggi-do,male,50-54,137925
1993,Gyeonggi-do,male,55-59,114644
1993,Gyeonggi-do,male,60-64,75324
1993,Gyeonggi-do,male,65-69,51373
1993,Gyeonggi-do,male,70-74,40270
1993,Gyeonggi-do,male,75-79,21835
1993,Gyeonggi-do,male,80-84,10660
1993,Gyeonggi-do,male,85+,3764
1993,Gyeonggi-do,female,0-4,318449
1993,Gyeonggi-do,female,5-9,282962
1993,Gyeonggi-do,female,10-14,289313
1993,Gyeonggi-do,female,15-19,235863
1993,Gyeonggi-do,female,20-24,322338
1993,Gyeonggi-do,female,25-29,394984
1993,Gyeonggi-do,female,30-34,417833
1993,Gyeonggi-do,female,35-39,296930
1993,Gyeonggi-do,female,40-44,169739
1993,Gyeonggi-do,female,45-49,141382
1993,Gyeonggi-do,female,50-54,146401
1993,Gyeonggi-do,female,55-59,132134
1993,Gyeonggi-do,female,60-64,104137
1993,Gyeonggi-do,female,65-69,78838
1993,Gyeonggi-do,female,70-74,59116
1993,Gyeonggi-do,female,75-79,37733
