year,province_name_en,sex,age_group,population
2000,Seoul,male,0-4,324052
2000,Seoul,male,5-9,353699
2000,Seoul,male,10-14,329395
2000,Seoul,male,15-19,415717
2000,Seoul,male,20-24,459301
2000,Seoul,male,25-29,576415
2000,Seoul,male,30-34,532609
2000,Seoul,male,35-39,455558
2000,Seoul,male,40-44,444484
2000,Seoul,male,45-49,353932
2000,Seoul,male,50-54,290177
2000,Seoul,male,55-59,242951
2000,Seoul,male,60-64,175453
2000,Seoul,male,65-69,101261
2000,Seoul,male,70-74,54760
2000,Seoul,male,75-79,32960
2000,Seoul,male,80-84,16113
2000,Seoul,male,85+,7768
2000,Seoul,female,0-4,299676
2000,Seoul,female,5-9,314443
2000,Seoul,female,10-14,294452
2000,Seoul,female,15-19,382681
2000,Seoul,female,20-24,467705
2000,Seoul,female,25-29,554577
2000,Seoul,female,30-34,486430
2000,Seoul,female,35-39,443855
2000,Seoul,female,40-44,471008
2000,Seoul,female,45-49,371799
2000,Seoul,female,50-54,296776
2000,Seoul,female,55-59,236836
2000,Seoul,female,60-64,178767
2000,Seoul,female,65-69,125570
2000,Seoul,female,70-74,92226
2000,Seoul,female,75-79,64632
2000,Seoul,female,80-84,38026
2000,Seoul,female,85+,25250
2000,Busan,male,0-4,111098
2000,Busan,male,5-9,135944
2000,Busan,male,10-14,128250
2000,Busan,male,15-19,168764
2000,Busan,male,20-24,179461
2000,Busan,male,25-29,173850
2000,Busan,male,30-34,161767
2000,Busan,male,35-39,162211
2000,Busan,male,40-44,175723
2000,Busan,male,45-49,144239
2000,Busan,male,50-54,112675
2000,Busan,male,55-59,90872
2000,Busan,male,60-64,68499
2000,Busan,male,65-69,41804
2000,Busan,male,70-74,22562
2000,Busan,male,75-79,12319
2000,Busan,male,80-84,4998
2000,Busan,male,85+,2014
2000,Busan,female,0-4,98882
2000,Busan,female,5-9,115461
2000,Busan,female,10-14,113892
2000,Busan,female,15-19,156965
2000,Busan,female,20-24,169721
2000,Busan,female,25-29,166480
2000,Busan,female,30-34,160145
2000,Busan,female,35-39,166001
2000,Busan,female,40-44,182736
2000,Busan,female,45-49,145441
2000,Busan,female,50-54,112101
2000,Busan,female,55-59,90982
2000,Busan,female,60-64,75271
2000,Busan,female,65-69,55951
2000,Busan,female,70-74,41172
2000,Busan,female,75-79,26723
2000,Busan,female,80-84,13117
2000,Busan,female,85+,8415
2000,Daegu,male,0-4,87327
2000,Daegu,male,5-9,103601
2000,Daegu,male,10-14,97896
2000,Daegu,male,15-19,110285
2000,Daegu,male,20-24,111837
2000,Daegu,male,25-29,117814
2000,Daegu,male,30-34,118323
2000,Daegu,male,35-39,116761
2000,Daegu,male,40-44,112069
2000,Daegu,male,45-49,83775
2000,Daegu,male,50-54,62944
2000,Daegu,male,55-59,50699
