year,province_name_en,sex,age_group,population
1997,Bangkok,male,0-4,188583
1997,Bangkok,male,5-9,198189
1997,Bangkok,male,10-14,198838
1997,Bangkok,male,15-19,225355
1997,Bangkok,male,20-24,229015
1997,Bangkok,male,25-29,232974
1997,Bangkok,male,30-34,246588
1997,Bangkok,male,35-39,240826
1997,Bangkok,male,40-44,208922
1997,Bangkok,male,45-49,162878
1997,Bangkok,male,50-54,109952
1997,Bangkok,male,55-59,91853
1997,Bangkok,male,60-64,71672
1997,Bangkok,male,65-69,46205
1997,Bangkok,male,70-74,26033
1997,Bangkok,male,75-79,14400
1997,Bangkok,male,80-84,7890
1997,Bangkok,male,85+,7550
1997,Bangkok,female,0-4,176938
1997,Bangkok,female,5-9,187872
1997,Bangkok,female,10-14,190274
1997,Bangkok,female,15-19,220406
1997,Bangkok,female,20-24,228406
1997,Bangkok,female,25-29,248435
1997,Bangkok,female,30-34,271620
1997,Bangkok,female,35-39,264872
1997,Bangkok,female,40-44,232925
1997,Bangkok,female,45-49,181692
1997,Bangkok,female,50-54,122877
1997,Bangkok,female,55-59,103001
1997,Bangkok,female,60-64,84355
1997,Bangkok,female,65-69,61203
1997,Bangkok,female,70-74,38174
1997,Bangkok,female,75-79,21534
1997,Bangkok,female,80-84,13726
1997,Bangkok,female,85+,13777
1997,Samut Prakan,male,0-4,34015
1997,Samut Prakan,male,5-9,36928
1997,Samut Prakan,male,10-14,36478
1997,Samut Prakan,male,15-19,41052
1997,Samut Prakan,male,20-24,39367
1997,Samut Prakan,male,25-29,42867
1997,Samut Prakan,male,30-34,46036
1997,Samut Prakan,male,35-39,43183
1997,Samut Prakan,male,40-44,35475
1997,Samut Prakan,male,45-49,26194
1997,Samut Prakan,male,50-54,17101
1997,Samut Prakan,male,55-59,14842
1997,Samut Prakan,male,60-64,11558
1997,Samut Prakan,male,65-69,7572
1997,Samut Prakan,male,70-74,4404
1997,Samut Prakan,male,75-79,2548
1997,Samut Prakan,male,80-84,1543
1997,Samut Prakan,male,85+,1501
1997,Samut Prakan,female,0-4,32143
1997,Samut Prakan,female,5-9,34534
1997,Samut Prakan,female,10-14,35708
1997,Samut Prakan,female,15-19,40357
1997,Samut Prakan,female,20-24,40742
1997,Samut Prakan,female,25-29,45456
1997,Samut Prakan,female,30-34,48901
1997,Samut Prakan,female,35-39,45764
1997,Samut Prakan,female,40-44,38420
1997,Samut Prakan,female,45-49,28293
1997,Samut Prakan,female,50-54,18249
1997,Samut Prakan,female,55-59,15946
1997,Samut Prakan,female,60-64,12440
1997,Samut Prakan,female,65-69,9470
1997,Samut Prakan,female,70-74,6041
1997,Samut Prakan,female,75-79,3761
1997,Samut Prakan,female,80-84,2477
1997,Samut Prakan,female,85+,2597
1997,Nonthaburi,male,0-4,27573
1997,Nonthaburi,male,5-9,28186
1997,Nonthaburi,male,10-14,28098
1997,Nonthaburi,male,15-19,31624
1997,Nonthaburi,male,20-24,30109
1997,Nonthaburi,male,25-29,34995
1997,Nonthaburi,male,30-34,38767
1997,Nonthaburi,male,35-39,36946
1997,Nonthaburi,male,40-44,30255
1997,Nonthaburi,male,45-49,22460
1997,Nonthaburi,male,50-54,15511
1997,Nonthaburi,male,55-59,14069
1997,Nonthaburi,male,60-64,12329
1997,Nonthaburi,male,65-69,8895
1997,Nonthaburi,male,70-74,5592
1997,Nonthaburi,male,75-79,3171
1997,Nonthaburi,male,80-84,1973
1997,Nonthaburi,male,85+,2119
1997,Nonthaburi,female,0-4,25977
1997,Nonthaburi,female,5-9,27036
1997,Nonthaburi,female,10-14,26577
1997,Nonthaburi,female,15-19,31426
1997,Nonthaburi,female,20-24,31882
1997,Nonthaburi,female,25-29,38020
1997,Nonthaburi,female,30-34,43523
1997,Nonthaburi,female,35-39,41930
1997,Nonthaburi,female,40-44,34925
1997,Nonthaburi,female,45-49,25887
1997,Nonthaburi,female,50-54,17980
1997,Nonthaburi,female,55-59,15128
1997,Nonthaburi,female,60-64,12552
1997,Nonthaburi,female,65-69,9121
1997,Nonthaburi,female,70-74,6096
1997,Nonthaburi,female,75-79,3851
1997,Nonthaburi,female,80-84,2678
1997,Nonthaburi,female,85+,2842
1997,Pathum Thani,male,0-4,23679
1997,Pathum Thani,male,5-9,22444
1997,Pathum Thani,male,10-14,21898
