year,province_name_en,sex,age_group,population
2000,Bangkok,male,0-4,169730
2000,Bangkok,male,5-9,202859
2000,Bangkok,male,10-14,193514
2000,Bangkok,male,15-19,209168
2000,Bangkok,male,20-24,228991
2000,Bangkok,male,25-29,220327
2000,Bangkok,male,30-34,232680
2000,Bangkok,male,35-39,241220
2000,Bangkok,male,40-44,222402
2000,Bangkok,male,45-49,181364
2000,Bangkok,male,50-54,134354
2000,Bangkok,male,55-59,93209
2000,Bangkok,male,60-64,77017
2000,Bangkok,male,65-69,54000
2000,Bangkok,male,70-74,32045
2000,Bangkok,male,75-79,17396
2000,Bangkok,male,80-84,9048
2000,Bangkok,male,85+,8486
2000,Bangkok,female,0-4,159015
2000,Bangkok,female,5-9,193095
2000,Bangkok,female,10-14,185747
2000,Bangkok,female,15-19,205828
2000,Bangkok,female,20-24,232581
2000,Bangkok,female,25-29,238752
2000,Bangkok,female,30-34,263614
2000,Bangkok,female,35-39,273539
2000,Bangkok,female,40-44,250683
2000,Bangkok,female,45-49,208412
2000,Bangkok,female,50-54,152146
2000,Bangkok,female,55-59,106992
2000,Bangkok,female,60-64,92498
2000,Bangkok,female,65-69,69604
2000,Bangkok,female,70-74,47318
2000,Bangkok,female,75-79,27083
2000,Bangkok,female,80-84,14822
2000,Bangkok,female,85+,15250
2000,Samut Prakan,male,0-4,35504
2000,Samut Prakan,male,5-9,40152
2000,Samut Prakan,male,10-14,35973
2000,Samut Prakan,male,15-19,38946
2000,Samut Prakan,male,20-24,40670
2000,Samut Prakan,male,25-29,40394
2000,Samut Prakan,male,30-34,45484
2000,Samut Prakan,male,35-39,46207
2000,Samut Prakan,male,40-44,39762
2000,Samut Prakan,male,45-49,30946
2000,Samut Prakan,male,50-54,21831
2000,Samut Prakan,male,55-59,15149
2000,Samut Prakan,male,60-64,12751
2000,Samut Prakan,male,65-69,8716
2000,Samut Prakan,male,70-74,5378
2000,Samut Prakan,male,75-79,3003
2000,Samut Prakan,male,80-84,1567
2000,Samut Prakan,male,85+,1596
2000,Samut Prakan,female,0-4,33133
2000,Samut Prakan,female,5-9,37638
2000,Samut Prakan,female,10-14,34458
2000,Samut Prakan,female,15-19,38302
2000,Samut Prakan,female,20-24,41699
2000,Samut Prakan,female,25-29,44279
2000,Samut Prakan,female,30-34,49419
2000,Samut Prakan,female,35-39,50262
2000,Samut Prakan,female,40-44,43607
2000,Samut Prakan,female,45-49,35001
2000,Samut Prakan,female,50-54,23892
2000,Samut Prakan,female,55-59,16916
2000,Samut Prakan,female,60-64,14486
2000,Samut Prakan,female,65-69,10550
2000,Samut Prakan,female,70-74,7580
2000,Samut Prakan,female,75-79,4578
2000,Samut Prakan,female,80-84,2697
2000,Samut Prakan,female,85+,2707
2000,Nonthaburi,male,0-4,29167
2000,Nonthaburi,male,5-9,31895
2000,Nonthaburi,male,10-14,28212
2000,Nonthaburi,male,15-19,30891
2000,Nonthaburi,male,20-24,32028
2000,Nonthaburi,male,25-29,33907
