year,province_code,province_name_th,province_name_en,sex,age_group,population,population_type,reference_date
2000,10,กรุงเทพมหานคร,Bangkok,male,0-4,169730,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,5-9,202859,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,10-14,193514,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,15-19,209168,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,20-24,228991,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,25-29,220327,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,30-34,232680,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,35-39,241220,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,40-44,222402,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,45-49,181364,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,50-54,134354,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,55-59,93209,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,60-64,77017,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,65-69,54000,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,70-74,32045,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,75-79,17396,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,80-84,9048,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,85+,8486,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,male,not_age_classified,264444,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,0-4,159015,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,5-9,193095,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,10-14,185747,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,15-19,205828,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,20-24,232581,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,25-29,238752,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,30-34,263614,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,35-39,273539,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,40-44,250683,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,45-49,208412,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,50-54,152146,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,55-59,106992,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,60-64,92498,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,65-69,69604,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,70-74,47318,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,75-79,27083,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,80-84,14822,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,85+,15250,registered,2000-12-31
2000,10,กรุงเทพมหานคร,Bangkok,female,not_age_classified,217369,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,0-4,35504,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,5-9,40152,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,10-14,35973,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,15-19,38946,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,20-24,40670,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,25-29,40394,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,30-34,45484,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,35-39,46207,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,40-44,39762,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,45-49,30946,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,50-54,21831,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,55-59,15149,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,60-64,12751,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,65-69,8716,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,70-74,5378,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,75-79,3003,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,80-84,1567,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,85+,1596,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,male,not_age_classified,23498,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,0-4,33133,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,5-9,37638,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,10-14,34458,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,15-19,38302,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,20-24,41699,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,25-29,44279,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,30-34,49419,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,35-39,50262,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,40-44,43607,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,45-49,35001,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,50-54,23892,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,55-59,16916,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,60-64,14486,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,65-69,10550,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,70-74,7580,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,75-79,4578,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,80-84,2697,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,85+,2707,registered,2000-12-31
2000,11,สมุทรปราการ,Samut Prakan,female,not_age_classified,21091,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,0-4,29167,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,5-9,31895,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,10-14,28212,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,15-19,30891,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,20-24,32028,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,25-29,33907,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,30-34,39490,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,35-39,40833,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,40-44,35614,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,45-49,27182,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,50-54,19548,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,55-59,14424,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,60-64,13399,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,65-69,10029,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,70-74,6741,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,75-79,3904,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,80-84,2071,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,85+,2288,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,male,not_age_classified,12673,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,0-4,27722,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,5-9,30188,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,10-14,27214,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,15-19,30168,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,20-24,34041,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,25-29,38058,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,30-34,45329,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,35-39,47616,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,40-44,41274,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,45-49,32508,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,50-54,23220,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,55-59,16821,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,60-64,14442,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,65-69,10646,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,70-74,7518,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,75-79,4626,registered,2000-12-31
2000,12,นนทบุรี,Nonthaburi,female,80-84,2720,registered,2000-12-31
