year,province_name_en,sex,age_group,population
1993,Seoul,male,0-4,416438
1993,Seoul,male,5-9,370853
1993,Seoul,male,10-14,505414
1993,Seoul,male,15-19,488423
1993,Seoul,male,20-24,589929
1993,Seoul,male,25-29,616390
1993,Seoul,male,30-34,585673
1993,Seoul,male,35-39,491203
1993,Seoul,male,40-44,365213
1993,Seoul,male,45-49,316743
1993,Seoul,male,50-54,284426
1993,Seoul,male,55-59,188388
1993,Seoul,male,60-64,106631
1993,Seoul,male,65-69,64392
1993,Seoul,male,70-74,47155
1993,Seoul,male,75-79,23429
1993,Seoul,male,80-84,12569
1993,Seoul,male,85+,4576
1993,Seoul,female,0-4,374546
1993,Seoul,female,5-9,336970
1993,Seoul,female,10-14,462336
1993,Seoul,female,15-19,447242
1993,Seoul,female,20-24,605084
1993,Seoul,female,25-29,570215
1993,Seoul,female,30-34,546085
1993,Seoul,female,35-39,499766
1993,Seoul,female,40-44,371592
1993,Seoul,female,45-49,314353
1993,Seoul,female,50-54,265352
1993,Seoul,female,55-59,190921
1993,Seoul,female,60-64,135036
1993,Seoul,female,65-69,103187
1993,Seoul,female,70-74,81471
1993,Seoul,female,75-79,55575
1993,Seoul,female,80-84,32867
1993,Seoul,female,85+,19056
1993,Busan,male,0-4,142059
1993,Busan,male,5-9,138405
1993,Busan,male,10-14,196496
1993,Busan,male,15-19,184871
1993,Busan,male,20-24,206751
1993,Busan,male,25-29,183199
1993,Busan,male,30-34,193427
1993,Busan,male,35-39,180360
1993,Busan,male,40-44,136388
1993,Busan,male,45-49,108555
1993,Busan,male,50-54,99297
1993,Busan,male,55-59,68232
1993,Busan,male,60-64,41039
1993,Busan,male,65-69,25128
1993,Busan,male,70-74,15685
1993,Busan,male,75-79,7137
1993,Busan,male,80-84,3283
1993,Busan,male,85+,1172
1993,Busan,female,0-4,122291
1993,Busan,female,5-9,126047
1993,Busan,female,10-14,183389
1993,Busan,female,15-19,172355
1993,Busan,female,20-24,205218
1993,Busan,female,25-29,179749
1993,Busan,female,30-34,193823
1993,Busan,female,35-39,179082
1993,Busan,female,40-44,133894
1993,Busan,female,45-49,104648
1993,Busan,female,50-54,97867
1993,Busan,female,55-59,73123
1993,Busan,female,60-64,54300
1993,Busan,female,65-69,42143
1993,Busan,female,70-74,29275
1993,Busan,female,75-79,17663
1993,Busan,female,80-84,10452
1993,Busan,female,85+,6003
1993,Daegu,male,0-4,95484
1993,Daegu,male,5-9,89697
1993,Daegu,male,10-14,119339
1993,Daegu,male,15-19,110893
1993,Daegu,male,20-24,124214
1993,Daegu,male,25-29,117749
1993,Daegu,male,30-34,118451
1993,Daegu,male,35-39,100009
1993,Daegu,male,40-44,76972
1993,Daegu,male,45-49,56960
1993,Daegu,male,50-54,54475
1993,Daegu,male,55-59,39777
1993,Daegu,male,60-64,23543
1993,Daegu,male,65-69,15056
1993,Daegu,male,70-74,9295
1993,Daegu,male,75-79,5196
1993,Daegu,male,80-84,2349
1993,Daegu,male,85+,906
1993,Daegu,female,0-4,76086
1993,Daegu,female,5-9,72568
1993,Daegu,female,10-14,108601
1993,Daegu,female,15-19,100563
1993,Daegu,female,20-24,124556
1993,Daegu,female,25-29,114766
1993,Daegu,female,30-34,117557
1993,Daegu,female,35-39,100507
1993,Daegu,female,40-44,78319
1993,Daegu,female,45-49,58771
1993,Daegu,female,50-54,57379
1993,Daegu,female,55-59,44479
1993,Daegu,female,60-64,32310
1993,Daegu,female,65-69,24100
1993,Daegu,female,70-74,18158
1993,Daegu,female,75-79,12105
1993,Daegu,female,80-84,7148
1993,Daegu,female,85+,3828
1993,Jeju,male,0-4,20110
1993,Jeju,male,5-9,18229
1993,Jeju,male,10-14,24325
1993,Jeju,male,15-19,25235
1993,Jeju,male,20-24,30455
1993,Jeju,male,25-29,25905
1993,Jeju,male,30-34,24131
1993,Jeju,male,35-39,20190
1993,Jeju,male,40-44,13673
1993,Jeju,male,45-49,13554
1993,Jeju,male,50-54,12339
1993,Jeju,male,55-59,9872
1993,Jeju,male,60-64,5960
1993,Jeju,male,65-69,2980
1993,Jeju,male,70-74,2435
1993,Jeju,male,75-79,1418
1993,Jeju,male,80-84,790
1993,Jeju,male,85+,447
1993,Jeju,female,0-4,18152
1993,Jeju,female,5-9,16808
1993,Jeju,female,10-14,23399
1993,Jeju,female,15-19,23519
1993,Jeju,female,20-24,28322
1993,Jeju,female,25-29,23214
1993,Jeju,female,30-34,22695
1993,Jeju,female,35-39,18699
1993,Jeju,female,40-44,13108
1993,Jeju,female,45-49,12798
1993,Jeju,female,50-54,12667
1993,Jeju,female,55-59,11872
1993,Jeju,female,60-64,10001
1993,Jeju,female,65-69,5889
1993,Jeju,female,70-74,6745
1993,Jeju,female,75-79,4569
1993,Jeju,female,80-84,3468
1993,Jeju,female,85+,2611
1994,Seoul,male,0-4,416781
1994,Seoul,male,5-9,355892
1994,Seoul,male,10-14,469800
1994,Seoul,male,15-19,476973
1994,Seoul,male,20-24,570184
1994,Seoul,male,25-29,615329
1994,Seoul,male,30-34,570492
1994,Seoul,male,35-39,495389
1994,Seoul,male,40-44,369294
1994,Seoul,male,45-49,319486
1994,Seoul,male,50-54,280252
1994,Seoul,male,55-59,199556
1994,Seoul,male,60-64,112603
1994,Seoul,male,65-69,67382
1994,Seoul,male,70-74,47177
1994,Seoul,male,75-79,24780
1994,Seoul,male,80-84,12161
1994,Seoul,male,85+,5296
1994,Seoul,female,0-4,372444
1994,Seoul,female,5-9,322873
1994,Seoul,female,10-14,427819
1994,Seoul,female,15-19,440438
1994,Seoul,female,20-24,582452
1994,Seoul,female,25-29,575438
1994,Seoul,female,30-34,525418
1994,Seoul,female,35-39,507255
1994,Seoul,female,40-44,379509
1994,Seoul,female,45-49,320831
1994,Seoul,female,50-54,264152
1994,Seoul,female,55-59,198144
1994,Seoul,female,60-64,137688
1994,Seoul,female,65-69,106543
1994,Seoul,female,70-74,81377
1994,Seoul,female,75-79,55170
1994,Seoul,female,80-84,33301
1994,Seoul,female,85+,19775
1994,Busan,male,0-4,141042
1994,Busan,male,5-9,133194
1994,Busan,male,10-14,184666
1994,Busan,male,15-19,183842
1994,Busan,male,20-24,202003
1994,Busan,male,25-29,183197
1994,Busan,male,30-34,183315
1994,Busan,male,35-39,182163
1994,Busan,male,40-44,141803
1994,Busan,male,45-49,112809
1994,Busan,male,50-54,99598
1994,Busan,male,55-59,72898
1994,Busan,male,60-64,44166
1994,Busan,male,65-69,26732
1994,Busan,male,70-74,16458
1994,Busan,male,75-79,7528
1994,Busan,male,80-84,3379
1994,Busan,male,85+,1314
1994,Busan,female,0-4,119870
1994,Busan,female,5-9,120121
1994,Busan,female,10-14,171479
1994,Busan,female,15-19,172335
1994,Busan,female,20-24,198917
1994,Busan,female,25-29,180111
1994,Busan,female,30-34,182978
1994,Busan,female,35-39,185833
1994,Busan,female,40-44,137744
1994,Busan,female,45-49,109559
1994,Busan,female,50-54,97855
1994,Busan,female,55-59,76740
1994,Busan,female,60-64,56149
1994,Busan,female,65-69,44435
1994,Busan,female,70-74,30610
1994,Busan,female,75-79,17811
1994,Busan,female,80-84,10869
1994,Busan,female,85+,6289
1994,Daegu,male,0-4,97251
1994,Daegu,male,5-9,90483
1994,Daegu,male,10-14,114597
1994,Daegu,male,15-19,110717
1994,Daegu,male,20-24,123127
1994,Daegu,male,25-29,120733
1994,Daegu,male,30-34,116386
1994,Daegu,male,35-39,105913
1994,Daegu,male,40-44,79938
1994,Daegu,male,45-49,60483
1994,Daegu,male,50-54,54214
1994,Daegu,male,55-59,41968
1994,Daegu,male,60-64,26219
1994,Daegu,male,65-69,15724
1994,Daegu,male,70-74,9817
1994,Daegu,male,75-79,5361
1994,Daegu,male,80-84,2457
1994,Daegu,male,85+,984
1994,Daegu,female,0-4,77728
1994,Daegu,female,5-9,72022
1994,Daegu,female,10-14,102546
1994,Daegu,female,15-19,101844
1994,Daegu,female,20-24,122257
1994,Daegu,female,25-29,117840
1994,Daegu,female,30-34,114953
1994,Daegu,female,35-39,108366
1994,Daegu,female,40-44,80648
1994,Daegu,female,45-49,61871
1994,Daegu,female,50-54,57196
1994,Daegu,female,55-59,46550
1994,Daegu,female,60-64,34546
1994,Daegu,female,65-69,25165
1994,Daegu,female,70-74,18817
1994,Daegu,female,75-79,12456
1994,Daegu,female,80-84,7405
1994,Daegu,female,85+,4098
1994,Jeju,male,0-4,21366
1994,Jeju,male,5-9,17733
1994,Jeju,male,10-14,23125
1994,Jeju,male,15-19,24533
1994,Jeju,male,20-24,29741
1994,Jeju,male,25-29,26406
1994,Jeju,male,30-34,24085
1994,Jeju,male,35-39,21263
1994,Jeju,male,40-44,14257
1994,Jeju,male,45-49,13563
1994,Jeju,male,50-54,12234
1994,Jeju,male,55-59,10160
1994,Jeju,male,60-64,6788
1994,Jeju,male,65-69,3284
1994,Jeju,male,70-74,2458
