year,province_code,province_name_ko,province_name_en,sex,age_group,population,population_type,reference_date
2000,11,서울특별시,Seoul,male,0-4,324052,registered,2000-12-31
2000,11,서울특별시,Seoul,male,5-9,353699,registered,2000-12-31
2000,11,서울특별시,Seoul,male,10-14,329395,registered,2000-12-31
2000,11,서울특별시,Seoul,male,15-19,415717,registered,2000-12-31
2000,11,서울특별시,Seoul,male,20-24,459301,registered,2000-12-31
2000,11,서울특별시,Seoul,male,25-29,576415,registered,2000-12-31
2000,11,서울특별시,Seoul,male,30-34,532609,registered,2000-12-31
2000,11,서울특별시,Seoul,male,35-39,455558,registered,2000-12-31
2000,11,서울특별시,Seoul,male,40-44,444484,registered,2000-12-31
2000,11,서울특별시,Seoul,male,45-49,353932,registered,2000-12-31
2000,11,서울특별시,Seoul,male,50-54,290177,registered,2000-12-31
2000,11,서울특별시,Seoul,male,55-59,242951,registered,2000-12-31
2000,11,서울특별시,Seoul,male,60-64,175453,registered,2000-12-31
2000,11,서울특별시,Seoul,male,65-69,101261,registered,2000-12-31
2000,11,서울특별시,Seoul,male,70-74,54760,registered,2000-12-31
2000,11,서울특별시,Seoul,male,75-79,32960,registered,2000-12-31
2000,11,서울특별시,Seoul,male,80-84,16113,registered,2000-12-31
2000,11,서울특별시,Seoul,male,85+,7768,registered,2000-12-31
2000,11,서울특별시,Seoul,female,0-4,299676,registered,2000-12-31
2000,11,서울특별시,Seoul,female,5-9,314443,registered,2000-12-31
2000,11,서울특별시,Seoul,female,10-14,294452,registered,2000-12-31
2000,11,서울특별시,Seoul,female,15-19,382681,registered,2000-12-31
2000,11,서울특별시,Seoul,female,20-24,467705,registered,2000-12-31
2000,11,서울특별시,Seoul,female,25-29,554577,registered,2000-12-31
2000,11,서울특별시,Seoul,female,30-34,486430,registered,2000-12-31
2000,11,서울특별시,Seoul,female,35-39,443855,registered,2000-12-31
2000,11,서울특별시,Seoul,female,40-44,471008,registered,2000-12-31
2000,11,서울특별시,Seoul,female,45-49,371799,registered,2000-12-31
2000,11,서울특별시,Seoul,female,50-54,296776,registered,2000-12-31
2000,11,서울특별시,Seoul,female,55-59,236836,registered,2000-12-31
2000,11,서울특별시,Seoul,female,60-64,178767,registered,2000-12-31
2000,11,서울특별시,Seoul,female,65-69,125570,registered,2000-12-31
2000,11,서울특별시,Seoul,female,70-74,92226,registered,2000-12-31
2000,11,서울특별시,Seoul,female,75-79,64632,registered,2000-12-31
2000,11,서울특별시,Seoul,female,80-84,38026,registered,2000-12-31
2000,11,서울특별시,Seoul,female,85+,25250,registered,2000-12-31
2000,26,부산광역시,Busan,male,0-4,111098,registered,2000-12-31
2000,26,부산광역시,Busan,male,5-9,135944,registered,2000-12-31
2000,26,부산광역시,Busan,male,10-14,128250,registered,2000-12-31
2000,26,부산광역시,Busan,male,15-19,168764,registered,2000-12-31
2000,26,부산광역시,Busan,male,20-24,179461,registered,2000-12-31
2000,26,부산광역시,Busan,male,25-29,173850,registered,2000-12-31
2000,26,부산광역시,Busan,male,30-34,161767,registered,2000-12-31
2000,26,부산광역시,Busan,male,35-39,162211,registered,2000-12-31
2000,26,부산광역시,Busan,male,40-44,175723,registered,2000-12-31
2000,26,부산광역시,Busan,male,45-49,144239,registered,2000-12-31
2000,26,부산광역시,Busan,male,50-54,112675,registered,2000-12-31
2000,26,부산광역시,Busan,male,55-59,90872,registered,2000-12-31
2000,26,부산광역시,Busan,male,60-64,68499,registered,2000-12-31
2000,26,부산광역시,Busan,male,65-69,41804,registered,2000-12-31
2000,26,부산광역시,Busan,male,70-74,22562,registered,2000-12-31
2000,26,부산광역시,Busan,male,75-79,12319,registered,2000-12-31
2000,26,부산광역시,Busan,male,80-84,4998,registered,2000-12-31
2000,26,부산광역시,Busan,male,85+,2014,registered,2000-12-31
2000,26,부산광역시,Busan,female,0-4,98882,registered,2000-12-31
2000,26,부산광역시,Busan,female,5-9,115461,registered,2000-12-31
2000,26,부산광역시,Busan,female,10-14,113892,registered,2000-12-31
2000,26,부산광역시,Busan,female,15-19,156965,registered,2000-12-31
2000,26,부산광역시,Busan,female,20-24,169721,registered,2000-12-31
2000,26,부산광역시,Busan,female,25-29,166480,registered,2000-12-31
2000,26,부산광역시,Busan,female,30-34,160145,registered,2000-12-31
2000,26,부산광역시,Busan,female,35-39,166001,registered,2000-12-31
2000,26,부산광역시,Busan,female,40-44,182736,registered,2000-12-31
2000,26,부산광역시,Busan,female,45-49,145441,registered,2000-12-31
2000,26,부산광역시,Busan,female,50-54,112101,registered,2000-12-31
2000,26,부산광역시,Busan,female,55-59,90982,registered,2000-12-31
2000,26,부산광역시,Busan,female,60-64,75271,registered,2000-12-31
2000,26,부산광역시,Busan,female,65-69,55951,registered,2000-12-31
2000,26,부산광역시,Busan,female,70-74,41172,registered,2000-12-31
2000,26,부산광역시,Busan,female,75-79,26723,registered,2000-12-31
2000,26,부산광역시,Busan,female,80-84,13117,registered,2000-12-31
2000,26,부산광역시,Busan,female,85+,8415,registered,2000-12-31
2000,27,대구광역시,Daegu,male,0-4,87327,registered,2000-12-31
2000,27,대구광역시,Daegu,male,5-9,103601,registered,2000-12-31
2000,27,대구광역시,Daegu,male,10-14,97896,registered,2000-12-31
2000,27,대구광역시,Daegu,male,15-19,110285,registered,2000-12-31
2000,27,대구광역시,Daegu,male,20-24,111837,registered,2000-12-31
2000,27,대구광역시,Daegu,male,25-29,117814,registered,2000-12-31
