Country,year,province_name_en,sex,age_group,population,age_start,age_group_order,broad_age_group
Thailand,2000,Bangkok,male,0-4,169730,0,0,child_0_14
Thailand,2000,Bangkok,male,5-9,202859,5,1,child_0_14
Thailand,2000,Bangkok,male,10-14,193514,10,2,child_0_14
Thailand,2000,Bangkok,male,15-19,209168,15,3,working_age_15_64
Thailand,2000,Bangkok,male,20-24,228991,20,4,working_age_15_64
Thailand,2000,Bangkok,male,25-29,220327,25,5,working_age_15_64
Thailand,2000,Bangkok,male,30-34,232680,30,6,working_age_15_64
Thailand,2000,Bangkok,male,35-39,241220,35,7,working_age_15_64
Thailand,2000,Bangkok,male,40-44,222402,40,8,working_age_15_64
Thailand,2000,Bangkok,male,45-49,181364,45,9,working_age_15_64
Thailand,2000,Bangkok,male,50-54,134354,50,10,working_age_15_64
Thailand,2000,Bangkok,male,55-59,93209,55,11,working_age_15_64
Thailand,2000,Bangkok,male,60-64,77017,60,12,working_age_15_64
Thailand,2000,Bangkok,male,65-69,54000,65,13,older_adult_65_plus
Thailand,2000,Bangkok,male,70-74,32045,70,14,older_adult_65_plus
Thailand,2000,Bangkok,male,75-79,17396,75,15,older_adult_65_plus
Thailand,2000,Bangkok,male,80-84,9048,80,16,older_adult_65_plus
Thailand,2000,Bangkok,male,85+,8486,85,17,older_adult_65_plus
Thailand,2000,Bangkok,female,0-4,159015,0,0,child_0_14
Thailand,2000,Bangkok,female,5-9,193095,5,1,child_0_14
Thailand,2000,Bangkok,female,10-14,185747,10,2,child_0_14
Thailand,2000,Bangkok,female,15-19,205828,15,3,working_age_15_64
Thailand,2000,Bangkok,female,20-24,232581,20,4,working_age_15_64
Thailand,2000,Bangkok,female,25-29,238752,25,5,working_age_15_64
Thailand,2000,Bangkok,female,30-34,263614,30,6,working_age_15_64
Thailand,2000,Bangkok,female,35-39,273539,35,7,working_age_15_64
Thailand,2000,Bangkok,female,40-44,250683,40,8,working_age_15_64
Thailand,2000,Bangkok,female,45-49,208412,45,9,working_age_15_64
Thailand,2000,Bangkok,female,50-54,152146,50,10,working_age_15_64
Thailand,2000,Bangkok,female,55-59,106992,55,11,working_age_15_64
Thailand,2000,Bangkok,female,60-64,92498,60,12,working_age_15_64
Thailand,2000,Bangkok,female,65-69,69604,65,13,older_adult_65_plus
Thailand,2000,Bangkok,female,70-74,47318,70,14,older_adult_65_plus
Thailand,2000,Bangkok,female,75-79,27083,75,15,older_adult_65_plus
Thailand,2000,Bangkok,female,80-84,14822,80,16,older_adult_65_plus
Thailand,2000,Bangkok,female,85+,15250,85,17,older_adult_65_plus
Thailand,2000,Samut Prakan,male,0-4,35504,0,0,child_0_14
Thailand,2000,Samut Prakan,male,5-9,40152,5,1,child_0_14
Thailand,2000,Samut Prakan,male,10-14,35973,10,2,child_0_14
Thailand,2000,Samut Prakan,male,15-19,38946,15,3,working_age_15_64
Thailand,2000,Samut Prakan,male,20-24,40670,20,4,working_age_15_64
Thailand,2000,Samut Prakan,male,25-29,40394,25,5,working_age_15_64
Thailand,2000,Samut Prakan,male,30-34,45484,30,6,working_age_15_64
Thailand,2000,Samut Prakan,male,35-39,46207,35,7,working_age_15_64
Thailand,2000,Samut Prakan,male,40-44,39762,40,8,working_age_15_64
Thailand,2000,Samut Prakan,male,45-49,30946,45,9,working_age_15_64
Thailand,2000,Samut Prakan,male,50-54,21831,50,10,working_age_15_64
Thailand,2000,Samut Prakan,male,55-59,15149,55,11,working_age_15_64
Thailand,2000,Samut Prakan,male,60-64,12751,60,12,working_age_15_64
Thailand,2000,Samut Prakan,male,65-69,8716,65,13,older_adult_65_plus
Thailand,2000,Samut Prakan,male,70-74,5378,70,14,older_adult_65_plus
Thailand,2000,Samut Prakan,male,75-79,3003,75,15,older_adult_65_plus
Thailand,2000,Samut Prakan,male,80-84,1567,80,16,older_adult_65_plus
Thailand,2000,Samut Prakan,male,85+,1596,85,17,older_adult_65_plus
Thailand,2000,Samut Prakan,female,0-4,33133,0,0,child_0_14
Thailand,2000,Samut Prakan,female,5-9,37638,5,1,child_0_14
Thailand,2000,Samut Prakan,female,10-14,34458,10,2,child_0_14
Thailand,2000,Samut Prakan,female,15-19,38302,15,3,working_age_15_64
Thailand,2000,Samut Prakan,female,20-24,41699,20,4,working_age_15_64
Thailand,2000,Samut Prakan,female,25-29,44279,25,5,working_age_15_64
Thailand,2000,Samut Prakan,female,30-34,49419,30,6,working_age_15_64
Thailand,2000,Samut Prakan,female,35-39,50262,35,7,working_age_15_64
Thailand,2000,Samut Prakan,female,40-44,43607,40,8,working_age_15_64
Thailand,2000,Samut Prakan,female,45-49,35001,45,9,working_age_15_64
Thailand,2000,Samut Prakan,female,50-54,23892,50,10,working_age_15_64
Thailand,2000,Samut Prakan,female,55-59,16916,55,11,working_age_15_64
Thailand,2000,Samut Prakan,female,60-64,14486,60,12,working_age_15_64
Thailand,2000,Samut Prakan,female,65-69,10550,65,13,older_adult_65_plus
Thailand,2000,Samut Prakan,female,70-74,7580,70,14,older_adult_65_plus
Thailand,2000,Samut Prakan,female,75-79,4578,75,15,older_adult_65_plus
Thailand,2000,Samut Prakan,female,80-84,2697,80,16,older_adult_65_plus
Thailand,2000,Samut Prakan,female,85+,2707,85,17,older_adult_65_plus
Thailand,2000,Nonthaburi,male,0-4,29167,0,0,child_0_14
Thailand,2000,Nonthaburi,male,5-9,31895,5,1,child_0_14
Thailand,2000,Nonthaburi,male,10-14,28212,10,2,child_0_14
Thailand,2000,Nonthaburi,male,15-19,30891,15,3,working_age_15_64
Thailand,2000,Nonthaburi,male,20-24,32028,20,4,working_age_15_64
Thailand,2000,Nonthaburi,male,25-29,33907,25,5,working_age_15_64
Thailand,2000,Nonthaburi,male,30-34,39490,30,6,working_age_15_64
Thailand,2000,Nonthaburi,male,35-39,40833,35,7,working_age_15_64
Thailand,2000,Nonthaburi,male,40-44,35614,40,8,working_age_15_64
Thailand,2000,Nonthaburi,male,45-49,27182,45,9,working_age_15_64
Thailand,2000,Nonthaburi,male,50-54,19548,50,10,working_age_15_64
Thailand,2000,Nonthaburi,male,55-59,14424,55,11,working_age_15_64
Thailand,2000,Nonthaburi,male,60-64,13399,60,12,working_age_15_64
Thailand,2000,Nonthaburi,male,65-69,10029,65,13,older_adult_65_plus
Thailand,2000,Nonthaburi,male,70-74,6741,70,14,older_adult_65_plus
Thailand,2000,Nonthaburi,male,75-79,3904,75,15,older_adult_65_plus
Thailand,2000,Nonthaburi,male,80-84,2071,80,16,older_adult_65_plus
Thailand,2000,Nonthaburi,male,85+,2288,85,17,older_adult_65_plus
Thailand,2000,Nonthaburi,female,0-4,27722,0,0,child_0_14
Thailand,2000,Nonthaburi,female,5-9,30188,5,1,child_0_14
Thailand,2000,Nonthaburi,female,10-14,27214,10,2,child_0_14
Thailand,2000,Nonthaburi,female,15-19,30168,15,3,working_age_15_64
Thailand,2000,Nonthaburi,female,20-24,34041,20,4,working_age_15_64
Thailand,2000,Nonthaburi,female,25-29,38058,25,5,working_age_15_64
Thailand,2000,Nonthaburi,female,30-34,45329,30,6,working_age_15_64
Thailand,2000,Nonthaburi,female,35-39,47616,35,7,working_age_15_64
Thailand,2000,Nonthaburi,female,40-44,41274,40,8,working_age_15_64
Thailand,2000,Nonthaburi,female,45-49,32508,45,9,working_age_15_64
Thailand,2000,Nonthaburi,female,50-54,23220,50,10,working_age_15_64
Thailand,2000,Nonthaburi,female,55-59,16821,55,11,working_age_15_64
Thailand,2000,Nonthaburi,female,60-64,14442,60,12,working_age_15_64
Thailand,2000,Nonthaburi,female,65-69,10646,65,13,older_adult_65_plus
Thailand,2000,Nonthaburi,female,70-74,7518,70,14,older_adult_65_plus
Thailand,2000,Nonthaburi,female,75-79,4626,75,15,older_adult_65_plus
Thailand,2000,Nonthaburi,female,80-84,2720,80,16,older_adult_65_plus
Thailand,2000,Nonthaburi,female,85+,2824,85,17,older_adult_65_plus
Thailand,2000,Pathum Thani,male,0-4,24862,0,0,child_0_14
Thailand,2000,Pathum Thani,male,5-9,25956,5,1,child_0_14
