Country,year,province_name_en,sex,age_group,population,age_start,age_group_order,broad_age_group
Thailand,1997,Bangkok,male,0-4,188583,0,0,child_0_14
Thailand,1997,Bangkok,male,5-9,198189,5,1,child_0_14
Thailand,1997,Bangkok,male,10-14,198838,10,2,child_0_14
Thailand,1997,Bangkok,male,15-19,225355,15,3,working_age_15_64
Thailand,1997,Bangkok,male,20-24,229015,20,4,working_age_15_64
Thailand,1997,Bangkok,male,25-29,232974,25,5,working_age_15_64
Thailand,1997,Bangkok,male,30-34,246588,30,6,working_age_15_64
Thailand,1997,Bangkok,male,35-39,240826,35,7,working_age_15_64
Thailand,1997,Bangkok,male,40-44,208922,40,8,working_age_15_64
Thailand,1997,Bangkok,male,45-49,162878,45,9,working_age_15_64
Thailand,1997,Bangkok,male,50-54,109952,50,10,working_age_15_64
Thailand,1997,Bangkok,male,55-59,91853,55,11,working_age_15_64
Thailand,1997,Bangkok,male,60-64,71672,60,12,working_age_15_64
Thailand,1997,Bangkok,male,65-69,46205,65,13,older_adult_65_plus
Thailand,1997,Bangkok,male,70-74,26033,70,14,older_adult_65_plus
Thailand,1997,Bangkok,male,75-79,14400,75,15,older_adult_65_plus
Thailand,1997,Bangkok,male,80-84,7890,80,16,older_adult_65_plus
Thailand,1997,Bangkok,male,85+,7550,85,17,older_adult_65_plus
Thailand,1997,Bangkok,female,0-4,176938,0,0,child_0_14
Thailand,1997,Bangkok,female,5-9,187872,5,1,child_0_14
Thailand,1997,Bangkok,female,10-14,190274,10,2,child_0_14
Thailand,1997,Bangkok,female,15-19,220406,15,3,working_age_15_64
Thailand,1997,Bangkok,female,20-24,228406,20,4,working_age_15_64
Thailand,1997,Bangkok,female,25-29,248435,25,5,working_age_15_64
Thailand,1997,Bangkok,female,30-34,271620,30,6,working_age_15_64
Thailand,1997,Bangkok,female,35-39,264872,35,7,working_age_15_64
Thailand,1997,Bangkok,female,40-44,232925,40,8,working_age_15_64
Thailand,1997,Bangkok,female,45-49,181692,45,9,working_age_15_64
Thailand,1997,Bangkok,female,50-54,122877,50,10,working_age_15_64
Thailand,1997,Bangkok,female,55-59,103001,55,11,working_age_15_64
Thailand,1997,Bangkok,female,60-64,84355,60,12,working_age_15_64
Thailand,1997,Bangkok,female,65-69,61203,65,13,older_adult_65_plus
Thailand,1997,Bangkok,female,70-74,38174,70,14,older_adult_65_plus
Thailand,1997,Bangkok,female,75-79,21534,75,15,older_adult_65_plus
Thailand,1997,Bangkok,female,80-84,13726,80,16,older_adult_65_plus
Thailand,1997,Bangkok,female,85+,13777,85,17,older_adult_65_plus
Thailand,1997,Samut Prakan,male,0-4,34015,0,0,child_0_14
Thailand,1997,Samut Prakan,male,5-9,36928,5,1,child_0_14
Thailand,1997,Samut Prakan,male,10-14,36478,10,2,child_0_14
Thailand,1997,Samut Prakan,male,15-19,41052,15,3,working_age_15_64
Thailand,1997,Samut Prakan,male,20-24,39367,20,4,working_age_15_64
Thailand,1997,Samut Prakan,male,25-29,42867,25,5,working_age_15_64
Thailand,1997,Samut Prakan,male,30-34,46036,30,6,working_age_15_64
Thailand,1997,Samut Prakan,male,35-39,43183,35,7,working_age_15_64
